Befattning,Arbsektor,Andel,Lön
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.7408838445,<37000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6882395557,37000-37999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6278676648,38000-38999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.7365370683,39000-39999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1108427916,40000-40999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.712388312,41000-41999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.0021733881,42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9900990099,43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8452064719,44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.424776624,45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1832890606,46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.4006278677,47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.0405699106,48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.5213716494,49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.6805119536,50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6300410529,51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8232311036,52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8473798599,53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7145617001,54000-54999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.4390243902,55000-55999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7266360782,56000-56999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.5938179184,57000-57999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7870079691,58000-58999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7749335909,59000-59999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.4269500121,60000-60999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6421154311,61000-61999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7628592128,62000-62999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6421154311,63000-63999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8353054818,64000-64999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.3303549867,65000-65999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.7870079691,66000-66999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.4609997585,67000-67999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.569669162,68000-68999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.3161072205,69000-69999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,2.1009418015,70000-70999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6662641874,71000-71999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.6783385656,72000-72999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1953634388,73000-73999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.424776624,74000-74999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8353054818,75000-75999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1591403043,76000-76999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9900990099,77000-77999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1712146824,78000-78999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.0625452789,79000-79999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.8232311036,80000-80999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.1349915479,81000-81999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8693552282,82000-82999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9659502536,83000-83999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.0383965226,84000-84999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,1.2436609515,85000-85999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8452064719,86000-86999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9055783627,87000-87999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6520164212,88000-88999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8935039845,89000-89999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.9418014972,90000-90999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.5916445303,91000-91999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.7969089592,92000-92999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6882395557,93000-93999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6037189085,94000-94999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.8089833374,95000-95999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.6761651775,96000-96999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.567495774,97000-97999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.3984544796,98000-98999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,0.4346776141,99000-99999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Privat sektor,15.0205264429,>=100000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.5853814236,<40000
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.2767315672,40000-40999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.8298755187,41000-41999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.5320778806,42000-42999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.3405681455,43000-43999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.7874241941,44000-44999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.4257899777,45000-45999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.489626556,46000-46999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.0746887967,47000-47999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.1279923396,48000-48999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.7449728695,49000-49999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.6386849665,50000-50999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.6172997127,51000-51999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.8726460262,52000-52999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.840727737,53000-53999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.9045643154,54000-54999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.4790935206,55000-55999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.5215448452,56000-56999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.6492180019,57000-57999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.5853814236,58000-58999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.489626556,59000-59999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.1279923396,60000-60999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.138525375,61000-61999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.0322374721,62000-62999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.6811362911,63000-63999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.3300351101,64000-64999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.4257899777,65000-65999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.9789339291,66000-66999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.3724864347,67000-67999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.5639961698,68000-68999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.8193424832,69000-69999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.6811362911,70000-70999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.5639961698,71000-71999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,2.2661985318,72000-72999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.9575486754,73000-73999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.3405681455,74000-74999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.5001595914,75000-75999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.0852218321,76000-76999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.9256303862,77000-77999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.3086498564,78000-78999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.6702840728,79000-79999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.0533035429,80000-80999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,1.1171401213,81000-81999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.5426109161,82000-82999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.7979572295,83000-83999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.7979572295,84000-84999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.6383657836,85000-85999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.4468560485,86000-86999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.5106926269,87000-87999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.5426109161,88000-88999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.4787743377,89000-89999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.6064474944,90000-90999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.2553463134,91000-91999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.3191828918,92000-92999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.3830194702,93000-93999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.1276731567,94000-94999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.2553463134,95000-95999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,0.3830194702,96000-96999
"Högsta chef (VD,GD mfl), Högre chef, Mellanchef (chef över chefer)",Offentlig sektor,3.1599106288,>=97000
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.5030156815,<31000
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.6634499397,31000-31999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.8845999196,32000-32999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.1660635304,33000-33999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.3369521512,34000-34999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.6083634901,35000-35999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.6787293928,36000-36999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.9903498191,37000-37999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.100924809,38000-38999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.6787293928,39000-39999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.6739043024,40000-40999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.422597507,41000-41999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.3823884198,42000-42999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.7040611178,43000-43999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.9352633695,44000-44999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.3273019702,45000-45999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.3273019702,46000-46999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.8447929232,47000-47999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.3474065139,48000-48999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.287092883,49000-49999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,4.1214314435,50000-50999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.1061519903,51000-51999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.2267792521,52000-52999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.7241656614,53000-53999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.8347406514,54000-54999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.1564133494,55000-55999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.3522316043,56000-56999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.5231202252,57000-57999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.422597507,58000-58999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.2316043426,59000-59999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,2.854845195,60000-60999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.6485725774,61000-61999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.7993566546,62000-62999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.4676316848,63000-63999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.5279453156,64000-64999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.7893043828,65000-65999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.4475271411,66000-66999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.2062726176,67000-67999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.1359067149,68000-68999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.0353839968,69000-69999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,1.2866907921,70000-70999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.6936067551,71000-71999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.6634499397,72000-72999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.6131885806,73000-73999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.2613590671,74000-74999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.7438681142,75000-75999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.4925613189,76000-76999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.4925613189,77000-77999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.432247688,78000-78999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.271411339,79000-79999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.3618817853,80000-80999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.321672698,81000-81999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.3116204262,82000-82999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.2412545235,83000-83999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,0.2412545235,84000-84999
Enhetschef/gruppchef/ första linjens chef,Privat sektor,3.0960997185,>=85000
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.3638572849,<32000
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,0.8836849663,32000-32999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.1819286424,33000-33999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.6458632498,34000-34999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.8557384292,35000-35999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.4301336574,36000-36999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,3.3027725616,37000-37999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,3.8440296034,38000-38999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,4.19750359,39000-39999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,5.2689716116,40000-40999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,5.1585109908,41000-41999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,5.8433668397,42000-42999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,6.020103833,43000-43999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,5.6887219706,44000-44999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,5.6666298465,45000-45999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,4.9265436872,46000-46999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,4.5620236386,47000-47999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,4.0980890313,48000-48999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,3.0376670717,49000-49999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.9934828234,50000-50999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.4411797194,51000-51999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.4522257815,52000-52999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,2.3638572849,53000-53999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.5685408152,54000-54999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.955152988,55000-55999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.3365735115,56000-56999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.4580801944,57000-57999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.4691262565,58000-58999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.2482050149,59000-59999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.5574947531,60000-60999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.1929747045,61000-61999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,1.2482050149,62000-62999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,0.9941455871,63000-63999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,0.5854412902,64000-64999
Enhetschef/gruppchef/ första linjens chef,Offentlig sektor,3.1591737546,>=65000
